City,Year,Series,Permits,provisional
Acworth,1980,Multi-family,0,False
Acworth,1980,Single-family,10,False
Acworth,1981,Multi-family,2,False
Acworth,1981,Single-family,11,False
Acworth,1982,Multi-family,2,False
Acworth,1982,Single-family,7,False
Acworth,1983,Multi-family,4,False
Acworth,1983,Single-family,65,False
Acworth,1984,Multi-family,0,False
Acworth,1984,Single-family,81,False
Acworth,1985,Multi-family,93,False
Acworth,1985,Single-family,31,False
Acworth,1986,Multi-family,74,False
Acworth,1986,Single-family,25,False
Acworth,1987,Multi-family,40,False
Acworth,1987,Single-family,48,False
Acworth,1988,Multi-family,170,False
Acworth,1988,Single-family,25,False
Acworth,1989,Multi-family,0,False
Acworth,1989,Single-family,50,False
Acworth,1990,Multi-family,70,False
Acworth,1990,Single-family,121,False
Acworth,1991,Multi-family,0,False
Acworth,1991,Single-family,158,False
Acworth,1992,Multi-family,0,False
Acworth,1992,Single-family,117,False
Acworth,1993,Multi-family,2,False
Acworth,1993,Single-family,200,False
Acworth,1994,Multi-family,0,False
Acworth,1994,Single-family,131,False
Acworth,1995,Multi-family,4,False
Acworth,1995,Single-family,181,False
Acworth,1996,Multi-family,0,False
Acworth,1996,Single-family,337,False
Acworth,1997,Multi-family,162,False
Acworth,1997,Single-family,508,False
Acworth,1998,Multi-family,32,False
Acworth,1998,Single-family,653,False
Acworth,1999,Multi-family,10,False
Acworth,1999,Single-family,578,False
Acworth,2000,Multi-family,38,False
Acworth,2000,Single-family,434,False
Acworth,2001,Multi-family,208,False
Acworth,2001,Single-family,431,False
Acworth,2002,Multi-family,172,False
Acworth,2002,Single-family,352,False
Acworth,2003,Multi-family,16,False
Acworth,2003,Single-family,366,False
Acworth,2004,Multi-family,0,False
Acworth,2004,Single-family,236,False
Acworth,2005,Multi-family,0,False
Acworth,2005,Single-family,143,False
Acworth,2006,Multi-family,0,False
Acworth,2006,Single-family,109,False
Acworth,2007,Multi-family,8,False
Acworth,2007,Single-family,121,False
Acworth,2008,Multi-family,0,False
Acworth,2008,Single-family,46,False
Acworth,2009,Multi-family,0,False
Acworth,2009,Single-family,48,False
Acworth,2010,Multi-family,0,False
Acworth,2010,Single-family,30,False
Acworth,2011,Multi-family,112,False
Acworth,2011,Single-family,11,False
Acworth,2012,Multi-family,0,False
Acworth,2012,Single-family,50,False
Acworth,2013,Multi-family,0,False
Acworth,2013,Single-family,70,False
Acworth,2014,Multi-family,0,False
Acworth,2014,Single-family,46,False
Acworth,2015,Multi-family,20,False
Acworth,2015,Single-family,86,False
Acworth,2016,Multi-family,79,False
Acworth,2016,Single-family,39,False
Acworth,2017,Multi-family,0,False
Acworth,2017,Single-family,29,False
Acworth,2018,Multi-family,28,False
Acworth,2018,Single-family,79,False
Acworth,2019,Multi-family,0,False
Acworth,2019,Single-family,24,False
Acworth,2020,Multi-family,0,False
Acworth,2020,Single-family,14,False
Acworth,2021,Multi-family,0,False
Acworth,2021,Single-family,31,False
Acworth,2022,Multi-family,0,False
Acworth,2022,Single-family,58,False
Acworth,2023,Multi-family,0,False
Acworth,2023,Single-family,58,False
Acworth,2024,Multi-family,12,False
Acworth,2024,Single-family,101,False
Acworth,2025,Multi-family,0,True
Acworth,2025,Single-family,64,True
Acworth,2026,Multi-family,0,True
Acworth,2026,Single-family,0,True
Alpharetta,1980,Multi-family,72,False
Alpharetta,1980,Single-family,35,False
Alpharetta,1981,Multi-family,114,False
Alpharetta,1981,Single-family,14,False
Alpharetta,1982,Multi-family,36,False
Alpharetta,1982,Single-family,34,False
Alpharetta,1983,Multi-family,338,False
Alpharetta,1983,Single-family,137,False
Alpharetta,1984,Multi-family,534,False
Alpharetta,1984,Single-family,205,False
Alpharetta,1985,Multi-family,276,False
Alpharetta,1985,Single-family,310,False
Alpharetta,1986,Multi-family,747,False
Alpharetta,1986,Single-family,259,False
Alpharetta,1987,Multi-family,250,False
Alpharetta,1987,Single-family,254,False
Alpharetta,1988,Multi-family,302,False
Alpharetta,1988,Single-family,335,False
Alpharetta,1989,Multi-family,131,False
Alpharetta,1989,Single-family,218,False
Alpharetta,1990,Multi-family,10,False
Alpharetta,1990,Single-family,304,False
Alpharetta,1991,Multi-family,0,False
Alpharetta,1991,Single-family,250,False
Alpharetta,1992,Multi-family,0,False
Alpharetta,1992,Single-family,285,False
Alpharetta,1993,Multi-family,0,False
Alpharetta,1993,Single-family,371,False
Alpharetta,1994,Multi-family,658,False
Alpharetta,1994,Single-family,411,False
Alpharetta,1995,Multi-family,717,False
