county_name,Year,Series,Permits,provisional
Atlanta,1980,All,1285,False
Atlanta,1980,Multi-family,921,False
Atlanta,1980,Single-family,364,False
Atlanta,1981,All,668,False
Atlanta,1981,Multi-family,32,False
Atlanta,1981,Single-family,636,False
Atlanta,1982,All,1718,False
Atlanta,1982,Multi-family,1375,False
Atlanta,1982,Single-family,343,False
Atlanta,1983,All,1103,False
Atlanta,1983,Multi-family,272,False
Atlanta,1983,Single-family,831,False
Atlanta,1984,All,1191,False
Atlanta,1984,Multi-family,866,False
Atlanta,1984,Single-family,325,False
Atlanta,1985,All,856,False
Atlanta,1985,Multi-family,575,False
Atlanta,1985,Single-family,281,False
Atlanta,1986,All,2346,False
Atlanta,1986,Multi-family,1975,False
Atlanta,1986,Single-family,371,False
Atlanta,1987,All,1397,False
Atlanta,1987,Multi-family,1046,False
Atlanta,1987,Single-family,351,False
Atlanta,1988,All,3598,False
Atlanta,1988,Multi-family,3048,False
Atlanta,1988,Single-family,550,False
Atlanta,1989,All,2104,False
Atlanta,1989,Multi-family,1666,False
Atlanta,1989,Single-family,438,False
Atlanta,1990,All,2525,False
Atlanta,1990,Multi-family,2100,False
Atlanta,1990,Single-family,425,False
Atlanta,1991,All,740,False
Atlanta,1991,Multi-family,444,False
Atlanta,1991,Single-family,296,False
Atlanta,1992,All,630,False
Atlanta,1992,Multi-family,165,False
Atlanta,1992,Single-family,465,False
Atlanta,1993,All,879,False
Atlanta,1993,Multi-family,554,False
Atlanta,1993,Single-family,325,False
Atlanta,1994,All,1091,False
Atlanta,1994,Multi-family,767,False
Atlanta,1994,Single-family,324,False
Atlanta,1995,All,1453,False
Atlanta,1995,Multi-family,1092,False
Atlanta,1995,Single-family,361,False
Atlanta,1996,All,3216,False
Atlanta,1996,Multi-family,2839,False
Atlanta,1996,Single-family,377,False
Atlanta,1997,All,1704,False
Atlanta,1997,Multi-family,1396,False
Atlanta,1997,Single-family,308,False
Atlanta,1998,All,2272,False
Atlanta,1998,Multi-family,1823,False
Atlanta,1998,Single-family,449,False
Atlanta,1999,All,3888,False
Atlanta,1999,Multi-family,3128,False
Atlanta,1999,Single-family,760,False
Atlanta,2000,All,5819,False
Atlanta,2000,Multi-family,5016,False
Atlanta,2000,Single-family,803,False
Atlanta,2001,All,6794,False
Atlanta,2001,Multi-family,6013,False
Atlanta,2001,Single-family,781,False
Atlanta,2002,All,6649,False
Atlanta,2002,Multi-family,5890,False
Atlanta,2002,Single-family,759,False
Atlanta,2003,All,6893,False
Atlanta,2003,Multi-family,5913,False
Atlanta,2003,Single-family,980,False
Atlanta,2004,All,9726,False
Atlanta,2004,Multi-family,8370,False
Atlanta,2004,Single-family,1356,False
Atlanta,2005,All,7974,False
Atlanta,2005,Multi-family,6410,False
Atlanta,2005,Single-family,1564,False
Atlanta,2006,All,10779,False
Atlanta,2006,Multi-family,8937,False
Atlanta,2006,Single-family,1842,False
Atlanta,2007,All,9297,False
Atlanta,2007,Multi-family,8050,False
Atlanta,2007,Single-family,1247,False
Atlanta,2008,All,2370,False
Atlanta,2008,Multi-family,1868,False
Atlanta,2008,Single-family,502,False
Atlanta,2009,All,919,False
Atlanta,2009,Multi-family,750,False
Atlanta,2009,Single-family,169,False
Atlanta,2010,All,279,False
Atlanta,2010,Multi-family,196,False
Atlanta,2010,Single-family,83,False
Atlanta,2011,All,737,False
Atlanta,2011,Multi-family,510,False
Atlanta,2011,Single-family,227,False
Atlanta,2012,All,2123,False
Atlanta,2012,Multi-family,1764,False
Atlanta,2012,Single-family,359,False
Atlanta,2013,All,5543,False
Atlanta,2013,Multi-family,5070,False
Atlanta,2013,Single-family,473,False
Atlanta,2014,All,4505,False
Atlanta,2014,Multi-family,3960,False
Atlanta,2014,Single-family,545,False
Atlanta,2015,All,6697,False
Atlanta,2015,Multi-family,5937,False
Atlanta,2015,Single-family,760,False
Atlanta,2016,All,8031,False
Atlanta,2016,Multi-family,7176,False
Atlanta,2016,Single-family,855,False
Atlanta,2017,All,5101,False
Atlanta,2017,Multi-family,4179,False
Atlanta,2017,Single-family,922,False
Atlanta,2018,All,6496,False
Atlanta,2018,Multi-family,5312,False
Atlanta,2018,Single-family,1184,False
Atlanta,2019,All,3283,False
Atlanta,2019,Multi-family,2555,False
Atlanta,2019,Single-family,728,False
Atlanta,2020,All,1674,False
Atlanta,2020,Multi-family,1301,False
Atlanta,2020,Single-family,373,False
Atlanta,2021,All,2413,False
Atlanta,2021,Multi-family,1558,False
Atlanta,2021,Single-family,855,False
Atlanta,2022,All,11853,False
Atlanta,2022,Multi-family,10078,False
Atlanta,2022,Single-family,1775,False
Atlanta,2023,All,7621,False
Atlanta,2023,Multi-family,6482,False
Atlanta,2023,Single-family,1139,False
Atlanta,2024,All,8109,False
Atlanta,2024,Multi-family,7318,False
Atlanta,2024,Single-family,791,False
Atlanta,2025,All,5622,True
Atlanta,2025,Multi-family,5061,True
Atlanta,2025,Single-family,561,True
Cherokee,1980,All,790,False
Cherokee,1980,Multi-family,26,False
Cherokee,1980,Single-family,764,False
Cherokee,1981,All,737,False
Cherokee,1981,Multi-family,105,False
Cherokee,1981,Single-family,632,False
Cherokee,1982,All,885,False
Cherokee,1982,Multi-family,0,False
Cherokee,1982,Single-family,885,False
Cherokee,1983,All,1185,False
Cherokee,1983,Multi-family,14,False
Cherokee,1983,Single-family,1171,False
Cherokee,1984,All,1557,False
Cherokee,1984,Multi-family,94,False
Cherokee,1984,Single-family,1463,False
Cherokee,1985,All,1660,False
Cherokee,1985,Multi-family,137,False
Cherokee,1985,Single-family,1523,False
Cherokee,1986,All,2733,False
Cherokee,1986,Multi-family,266,False
Cherokee,1986,Single-family,2467,False
Cherokee,1987,All,1867,False
Cherokee,1987,Multi-family,39,False
Cherokee,1987,Single-family,1828,False
Cherokee,1988,All,1788,False
Cherokee,1988,Multi-family,125,False
Cherokee,1988,Single-family,1663,False
Cherokee,1989,All,1414,False
Cherokee,1989,Multi-family,53,False
Cherokee,1989,Single-family,1361,False
Cherokee,1990,All,1061,False
Cherokee,1990,Multi-family,13,False
Cherokee,1990,Single-family,1048,False
Cherokee,1991,All,1260,False
Cherokee,1991,Multi-family,10,False
Cherokee,1991,Single-family,1250,False
Cherokee,1992,All,1703,False
Cherokee,1992,Multi-family,2,False
Cherokee,1992,Single-family,1701,False
Cherokee,1993,All,1988,False
Cherokee,1993,Multi-family,76,False
Cherokee,1993,Single-family,1912,False
Cherokee,1994,All,1904,False
Cherokee,1994,Multi-family,21,False
Cherokee,1994,Single-family,1883,False
Cherokee,1995,All,2378,False
Cherokee,1995,Multi-family,448,False
Cherokee,1995,Single-family,1930,False
Cherokee,1996,All,1969,False
Cherokee,1996,Multi-family,30,False
Cherokee,1996,Single-family,1939,False
Cherokee,1997,All,2159,False
Cherokee,1997,Multi-family,257,False
Cherokee,1997,Single-family,1902,False
Cherokee,1998,All,3339,False
Cherokee,1998,Multi-family,570,False
Cherokee,1998,Single-family,2769,False
Cherokee,1999,All,3380,False
Cherokee,1999,Multi-family,588,False
Cherokee,1999,Single-family,2792,False
Cherokee,2000,All,3776,False
Cherokee,2000,Multi-family,894,False
Cherokee,2000,Single-family,2882,False
Cherokee,2001,All,3611,False
Cherokee,2001,Multi-family,842,False
Cherokee,2001,Single-family,2769,False
Cherokee,2002,All,3795,False
Cherokee,2002,Multi-family,596,False
Cherokee,2002,Single-family,3199,False
Cherokee,2003,All,3804,False
Cherokee,2003,Multi-family,362,False
Cherokee,2003,Single-family,3442,False
Cherokee,2004,All,4084,False
Cherokee,2004,Multi-family,272,False
Cherokee,2004,Single-family,3812,False
Cherokee,2005,All,4162,False
Cherokee,2005,Multi-family,97,False
Cherokee,2005,Single-family,4065,False
Cherokee,2006,All,3723,False
Cherokee,2006,Multi-family,238,False
Cherokee,2006,Single-family,3485,False
Cherokee,2007,All,2231,False
Cherokee,2007,Multi-family,19,False
Cherokee,2007,Single-family,2212,False
Cherokee,2008,All,912,False
Cherokee,2008,Multi-family,4,False
Cherokee,2008,Single-family,908,False
Cherokee,2009,All,407,False
Cherokee,2009,Multi-family,0,False
Cherokee,2009,Single-family,407,False
Cherokee,2010,All,549,False
Cherokee,2010,Multi-family,100,False
Cherokee,2010,Single-family,449,False
Cherokee,2011,All,439,False
Cherokee,2011,Multi-family,0,False
Cherokee,2011,Single-family,439,False
Cherokee,2012,All,1213,False
Cherokee,2012,Multi-family,472,False
Cherokee,2012,Single-family,741,False
Cherokee,2013,All,1403,False
Cherokee,2013,Multi-family,0,False
Cherokee,2013,Single-family,1403,False
Cherokee,2014,All,2123,False
Cherokee,2014,Multi-family,547,False
Cherokee,2014,Single-family,1576,False
Cherokee,2015,All,2000,False
Cherokee,2015,Multi-family,153,False
Cherokee,2015,Single-family,1847,False
Cherokee,2016,All,2494,False
Cherokee,2016,Multi-family,394,False
Cherokee,2016,Single-family,2100,False
Cherokee,2017,All,2284,False
Cherokee,2017,Multi-family,0,False
Cherokee,2017,Single-family,2284,False
Cherokee,2018,All,3500,False
Cherokee,2018,Multi-family,1264,False
Cherokee,2018,Single-family,2236,False
Cherokee,2019,All,2438,False
Cherokee,2019,Multi-family,266,False
Cherokee,2019,Single-family,2172,False
Cherokee,2020,All,2394,False
Cherokee,2020,Multi-family,9,False
Cherokee,2020,Single-family,2385,False
Cherokee,2021,All,2754,False
Cherokee,2021,Multi-family,156,False
Cherokee,2021,Single-family,2598,False
Cherokee,2022,All,3021,False
Cherokee,2022,Multi-family,526,False
Cherokee,2022,Single-family,2495,False
Cherokee,2023,All,2226,False
Cherokee,2023,Multi-family,30,False
Cherokee,2023,Single-family,2196,False
Cherokee,2024,All,2665,False
Cherokee,2024,Multi-family,869,False
Cherokee,2024,Single-family,1796,False
Cherokee,2025,All,1516,True
Cherokee,2025,Multi-family,33,True
Cherokee,2025,Single-family,1483,True
Clayton,1980,All,1033,False
Clayton,1980,Multi-family,0,False
Clayton,1980,Single-family,1033,False
Clayton,1981,All,549,False
Clayton,1981,Multi-family,4,False
Clayton,1981,Single-family,545,False
Clayton,1982,All,794,False
Clayton,1982,Multi-family,92,False
Clayton,1982,Single-family,702,False
Clayton,1983,All,1432,False
Clayton,1983,Multi-family,94,False
Clayton,1983,Single-family,1338,False
Clayton,1984,All,2226,False
Clayton,1984,Multi-family,674,False
Clayton,1984,Single-family,1552,False
Clayton,1985,All,2960,False
Clayton,1985,Multi-family,1437,False
Clayton,1985,Single-family,1523,False
Clayton,1986,All,3640,False
Clayton,1986,Multi-family,1951,False
Clayton,1986,Single-family,1689,False
Clayton,1987,All,3302,False
Clayton,1987,Multi-family,1832,False
Clayton,1987,Single-family,1470,False
Clayton,1988,All,2700,False
Clayton,1988,Multi-family,1194,False
Clayton,1988,Single-family,1506,False
Clayton,1989,All,2234,False
Clayton,1989,Multi-family,1151,False
Clayton,1989,Single-family,1083,False
Clayton,1990,All,1400,False
Clayton,1990,Multi-family,447,False
Clayton,1990,Single-family,953,False
Clayton,1991,All,1024,False
Clayton,1991,Multi-family,78,False
Clayton,1991,Single-family,946,False
Clayton,1992,All,1109,False
Clayton,1992,Multi-family,0,False
Clayton,1992,Single-family,1109,False
Clayton,1993,All,1094,False
Clayton,1993,Multi-family,0,False
Clayton,1993,Single-family,1094,False
Clayton,1994,All,1319,False
Clayton,1994,Multi-family,334,False
Clayton,1994,Single-family,985,False
Clayton,1995,All,1066,False
Clayton,1995,Multi-family,7,False
Clayton,1995,Single-family,1059,False
Clayton,1996,All,1341,False
Clayton,1996,Multi-family,192,False
Clayton,1996,Single-family,1149,False
Clayton,1997,All,1511,False
Clayton,1997,Multi-family,330,False
Clayton,1997,Single-family,1181,False
Clayton,1998,All,1656,False
Clayton,1998,Multi-family,0,False
Clayton,1998,Single-family,1656,False
Clayton,1999,All,2261,False
Clayton,1999,Multi-family,0,False
Clayton,1999,Single-family,2261,False
Clayton,2000,All,3347,False
Clayton,2000,Multi-family,1024,False
Clayton,2000,Single-family,2323,False
Clayton,2001,All,3170,False
Clayton,2001,Multi-family,636,False
Clayton,2001,Single-family,2534,False
Clayton,2002,All,3240,False
Clayton,2002,Multi-family,957,False
Clayton,2002,Single-family,2283,False
Clayton,2003,All,2579,False
Clayton,2003,Multi-family,60,False
Clayton,2003,Single-family,2519,False
Clayton,2004,All,3014,False
Clayton,2004,Multi-family,968,False
Clayton,2004,Single-family,2046,False
Clayton,2005,All,2114,False
Clayton,2005,Multi-family,8,False
Clayton,2005,Single-family,2106,False
Clayton,2006,All,2231,False
Clayton,2006,Multi-family,14,False
Clayton,2006,Single-family,2217,False
Clayton,2007,All,1254,False
Clayton,2007,Multi-family,16,False
Clayton,2007,Single-family,1238,False
Clayton,2008,All,403,False
Clayton,2008,Multi-family,0,False
Clayton,2008,Single-family,403,False
Clayton,2009,All,93,False
Clayton,2009,Multi-family,8,False
Clayton,2009,Single-family,85,False
Clayton,2010,All,143,False
Clayton,2010,Multi-family,0,False
Clayton,2010,Single-family,143,False
Clayton,2011,All,106,False
Clayton,2011,Multi-family,0,False
Clayton,2011,Single-family,106,False
Clayton,2012,All,93,False
Clayton,2012,Multi-family,0,False
Clayton,2012,Single-family,93,False
Clayton,2013,All,134,False
Clayton,2013,Multi-family,0,False
Clayton,2013,Single-family,134,False
Clayton,2014,All,340,False
Clayton,2014,Multi-family,12,False
Clayton,2014,Single-family,328,False
Clayton,2015,All,427,False
Clayton,2015,Multi-family,0,False
Clayton,2015,Single-family,427,False
Clayton,2016,All,560,False
Clayton,2016,Multi-family,0,False
Clayton,2016,Single-family,560,False
Clayton,2017,All,411,False
Clayton,2017,Multi-family,0,False
Clayton,2017,Single-family,411,False
Clayton,2018,All,720,False
Clayton,2018,Multi-family,0,False
Clayton,2018,Single-family,720,False
Clayton,2019,All,905,False
Clayton,2019,Multi-family,70,False
Clayton,2019,Single-family,835,False
Clayton,2020,All,954,False
Clayton,2020,Multi-family,0,False
Clayton,2020,Single-family,954,False
Clayton,2021,All,929,False
Clayton,2021,Multi-family,306,False
Clayton,2021,Single-family,623,False
Clayton,2022,All,368,False
Clayton,2022,Multi-family,2,False
Clayton,2022,Single-family,366,False
Clayton,2023,All,348,False
Clayton,2023,Multi-family,25,False
Clayton,2023,Single-family,323,False
Clayton,2024,All,930,False
Clayton,2024,Multi-family,530,False
Clayton,2024,Single-family,400,False
Clayton,2025,All,774,True
Clayton,2025,Multi-family,371,True
Clayton,2025,Single-family,403,True
Cobb,1980,All,5576,False
Cobb,1980,Multi-family,1814,False
Cobb,1980,Single-family,3762,False
Cobb,1981,All,4713,False
Cobb,1981,Multi-family,1830,False
Cobb,1981,Single-family,2883,False
Cobb,1982,All,6034,False
Cobb,1982,Multi-family,1219,False
Cobb,1982,Single-family,4815,False
Cobb,1983,All,12404,False
Cobb,1983,Multi-family,5351,False
Cobb,1983,Single-family,7053,False
Cobb,1984,All,11515,False
Cobb,1984,Multi-family,4014,False
Cobb,1984,Single-family,7501,False
Cobb,1985,All,10685,False
Cobb,1985,Multi-family,3443,False
Cobb,1985,Single-family,7242,False
Cobb,1986,All,10825,False
Cobb,1986,Multi-family,3410,False
Cobb,1986,Single-family,7415,False
Cobb,1987,All,9278,False
Cobb,1987,Multi-family,3401,False
Cobb,1987,Single-family,5877,False
Cobb,1988,All,5695,False
Cobb,1988,Multi-family,1276,False
Cobb,1988,Single-family,4419,False
Cobb,1989,All,4317,False
Cobb,1989,Multi-family,1287,False
Cobb,1989,Single-family,3030,False
Cobb,1990,All,2845,False
Cobb,1990,Multi-family,274,False
Cobb,1990,Single-family,2571,False
Cobb,1991,All,3148,False
Cobb,1991,Multi-family,100,False
Cobb,1991,Single-family,3048,False
Cobb,1992,All,3809,False
Cobb,1992,Multi-family,2,False
Cobb,1992,Single-family,3807,False
Cobb,1993,All,4966,False
Cobb,1993,Multi-family,480,False
Cobb,1993,Single-family,4486,False
Cobb,1994,All,5284,False
Cobb,1994,Multi-family,799,False
Cobb,1994,Single-family,4485,False
Cobb,1995,All,8251,False
Cobb,1995,Multi-family,3140,False
Cobb,1995,Single-family,5111,False
Cobb,1996,All,6268,False
Cobb,1996,Multi-family,1121,False
Cobb,1996,Single-family,5147,False
Cobb,1997,All,7081,False
Cobb,1997,Multi-family,1767,False
Cobb,1997,Single-family,5314,False
Cobb,1998,All,8374,False
Cobb,1998,Multi-family,1663,False
Cobb,1998,Single-family,6711,False
Cobb,1999,All,8008,False
Cobb,1999,Multi-family,865,False
Cobb,1999,Single-family,7143,False
Cobb,2000,All,6642,False
Cobb,2000,Multi-family,1187,False
Cobb,2000,Single-family,5455,False
Cobb,2001,All,5657,False
Cobb,2001,Multi-family,1144,False
Cobb,2001,Single-family,4513,False
Cobb,2002,All,5556,False
Cobb,2002,Multi-family,853,False
Cobb,2002,Single-family,4703,False
Cobb,2003,All,5963,False
Cobb,2003,Multi-family,970,False
Cobb,2003,Single-family,4993,False
Cobb,2004,All,6889,False
Cobb,2004,Multi-family,1457,False
Cobb,2004,Single-family,5432,False
Cobb,2005,All,6142,False
Cobb,2005,Multi-family,1019,False
Cobb,2005,Single-family,5123,False
Cobb,2006,All,4518,False
Cobb,2006,Multi-family,1172,False
Cobb,2006,Single-family,3346,False
Cobb,2007,All,2945,False
Cobb,2007,Multi-family,1044,False
Cobb,2007,Single-family,1901,False
Cobb,2008,All,1068,False
Cobb,2008,Multi-family,341,False
Cobb,2008,Single-family,727,False
Cobb,2009,All,550,False
Cobb,2009,Multi-family,141,False
Cobb,2009,Single-family,409,False
Cobb,2010,All,1013,False
Cobb,2010,Multi-family,300,False
Cobb,2010,Single-family,713,False
Cobb,2011,All,1758,False
Cobb,2011,Multi-family,872,False
Cobb,2011,Single-family,886,False
Cobb,2012,All,2245,False
Cobb,2012,Multi-family,1052,False
Cobb,2012,Single-family,1193,False
Cobb,2013,All,2676,False
Cobb,2013,Multi-family,1082,False
Cobb,2013,Single-family,1594,False
