county_name,Year,Series,Permits
Cherokee,1980,Total Permits,790.0
Cherokee,1981,Total Permits,737.0
Cherokee,1982,Total Permits,885.0
Cherokee,1983,Total Permits,1185.0
Cherokee,1984,Total Permits,1557.0
Cherokee,1985,Total Permits,1660.0
Cherokee,1986,Total Permits,2733.0
Cherokee,1987,Total Permits,1867.0
Cherokee,1988,Total Permits,1788.0
Cherokee,1989,Total Permits,1414.0
Cherokee,1990,Total Permits,1061.0
Cherokee,1991,Total Permits,1260.0
Cherokee,1992,Total Permits,1703.0
Cherokee,1993,Total Permits,1988.0
Cherokee,1994,Total Permits,1904.0
Cherokee,1995,Total Permits,2378.0
Cherokee,1996,Total Permits,1969.0
Cherokee,1997,Total Permits,2159.0
Cherokee,1998,Total Permits,3339.0
Cherokee,1999,Total Permits,3380.0
Cherokee,2000,Total Permits,3776.0
Cherokee,2001,Total Permits,3611.0
Cherokee,2002,Total Permits,3795.0
Cherokee,2003,Total Permits,3804.0
Cherokee,2004,Total Permits,4084.0
Cherokee,2005,Total Permits,4162.0
Cherokee,2006,Total Permits,3723.0
Cherokee,2007,Total Permits,2231.0
Cherokee,2008,Total Permits,912.0
Cherokee,2009,Total Permits,407.0
Cherokee,2010,Total Permits,549.0
Cherokee,2011,Total Permits,439.0
Cherokee,2012,Total Permits,1213.0
Cherokee,2013,Total Permits,1403.0
Cherokee,2014,Total Permits,2123.0
Cherokee,2015,Total Permits,2000.0
Cherokee,2016,Total Permits,2494.0
Cherokee,2017,Total Permits,2284.0
Cherokee,2018,Total Permits,3500.0
Cherokee,2019,Total Permits,2438.0
Cherokee,2020,Total Permits,2394.0
Cherokee,2021,Total Permits,2754.0
Cherokee,2022,Total Permits,3021.0
Cherokee,2023,Total Permits,2226.0
Cherokee,1980,All Single-Family Permits,764.0
Cherokee,1981,All Single-Family Permits,632.0
Cherokee,1982,All Single-Family Permits,885.0
Cherokee,1983,All Single-Family Permits,1171.0
Cherokee,1984,All Single-Family Permits,1463.0
Cherokee,1985,All Single-Family Permits,1523.0
Cherokee,1986,All Single-Family Permits,2467.0
Cherokee,1987,All Single-Family Permits,1828.0
Cherokee,1988,All Single-Family Permits,1663.0
Cherokee,1989,All Single-Family Permits,1361.0
Cherokee,1990,All Single-Family Permits,1048.0
Cherokee,1991,All Single-Family Permits,1250.0
Cherokee,1992,All Single-Family Permits,1701.0
Cherokee,1993,All Single-Family Permits,1912.0
Cherokee,1994,All Single-Family Permits,1883.0
Cherokee,1995,All Single-Family Permits,1930.0
Cherokee,1996,All Single-Family Permits,1939.0
Cherokee,1997,All Single-Family Permits,1902.0
Cherokee,1998,All Single-Family Permits,2769.0
Cherokee,1999,All Single-Family Permits,2792.0
Cherokee,2000,All Single-Family Permits,2882.0
Cherokee,2001,All Single-Family Permits,2769.0
Cherokee,2002,All Single-Family Permits,3199.0
Cherokee,2003,All Single-Family Permits,3442.0
Cherokee,2004,All Single-Family Permits,3812.0
Cherokee,2005,All Single-Family Permits,4065.0
Cherokee,2006,All Single-Family Permits,3485.0
Cherokee,2007,All Single-Family Permits,2212.0
Cherokee,2008,All Single-Family Permits,908.0
Cherokee,2009,All Single-Family Permits,407.0
Cherokee,2010,All Single-Family Permits,449.0
Cherokee,2011,All Single-Family Permits,439.0
Cherokee,2012,All Single-Family Permits,741.0
Cherokee,2013,All Single-Family Permits,1403.0
Cherokee,2014,All Single-Family Permits,1576.0
Cherokee,2015,All Single-Family Permits,1847.0
Cherokee,2016,All Single-Family Permits,2100.0
Cherokee,2017,All Single-Family Permits,2284.0
Cherokee,2018,All Single-Family Permits,2236.0
Cherokee,2019,All Single-Family Permits,2172.0
Cherokee,2020,All Single-Family Permits,2385.0
Cherokee,2021,All Single-Family Permits,2598.0
Cherokee,2022,All Single-Family Permits,2495.0
Cherokee,2023,All Single-Family Permits,2196.0
Cherokee,1980,All Multi-Family Permits,26.0
Cherokee,1981,All Multi-Family Permits,105.0
Cherokee,1982,All Multi-Family Permits,0.0
Cherokee,1983,All Multi-Family Permits,14.0
Cherokee,1984,All Multi-Family Permits,94.0
