Year,Permits,provisional
1980,21262,False
1981,17915,False
1982,23348,False
1983,43791,False
1984,47503,False
1985,47221,False
1986,49828,False
1987,40284,False
1988,40199,False
1989,29646,False
1990,23147,False
1991,20117,False
1992,24080,False
1993,30266,False
1994,34367,False
1995,40836,False
1996,40357,False
1997,41053,False
1998,47377,False
1999,49231,False
2000,52027,False
2001,51612,False
2002,53164,False
2003,50933,False
2004,58490,False
2005,56729,False
2006,53978,False
2007,35932,False
2008,15930,False
2009,4976,False
2010,6056,False
2011,7288,False
2012,12973,False
2013,21177,False
2014,23186,False
2015,26050,False
2016,30766,False
2017,27451,False
2018,31251,False
2019,24428,False
2020,22839,False
2021,27161,False
2022,36572,False
2023,28595,False
2024,29473,False
2025,23094,True
2026,1632,True
