city,month_year,date,Series,Permits
Acworth,Apr 2023,2023-04-01,Multi-Family,0.0
Acworth,Apr 2023,2023-04-01,Single-Family,1.0
Acworth,May 2023,2023-05-01,Multi-Family,0.0
Acworth,May 2023,2023-05-01,Single-Family,8.0
Acworth,Jun 2023,2023-06-01,Multi-Family,0.0
Acworth,Jun 2023,2023-06-01,Single-Family,3.0
Acworth,Jul 2023,2023-07-01,Multi-Family,0.0
Acworth,Jul 2023,2023-07-01,Single-Family,0.0
Acworth,Aug 2023,2023-08-01,Multi-Family,0.0
Acworth,Aug 2023,2023-08-01,Single-Family,4.0
Acworth,Sep 2023,2023-09-01,Multi-Family,0.0
Acworth,Sep 2023,2023-09-01,Single-Family,5.0
Acworth,Oct 2023,2023-10-01,Multi-Family,0.0
Acworth,Oct 2023,2023-10-01,Single-Family,5.0
Acworth,Nov 2023,2023-11-01,Multi-Family,0.0
Acworth,Nov 2023,2023-11-01,Single-Family,24.0
Acworth,Dec 2023,2023-12-01,Multi-Family,0.0
Acworth,Dec 2023,2023-12-01,Single-Family,1.0
Acworth,Jan 2024,2024-01-01,Multi-Family,0.0
Acworth,Jan 2024,2024-01-01,Single-Family,20.0
Acworth,Feb 2024,2024-02-01,Multi-Family,0.0
Acworth,Feb 2024,2024-02-01,Single-Family,0.0
Acworth,Mar 2024,2024-03-01,Multi-Family,0.0
Acworth,Mar 2024,2024-03-01,Single-Family,8.0
Acworth,Apr 2024,2024-04-01,Multi-Family,4.0
Acworth,Apr 2024,2024-04-01,Single-Family,2.0
Acworth,May 2024,2024-05-01,Multi-Family,0.0
Acworth,May 2024,2024-05-01,Single-Family,10.0
Acworth,Jun 2024,2024-06-01,Multi-Family,8.0
Acworth,Jun 2024,2024-06-01,Single-Family,1.0
Acworth,Jul 2024,2024-07-01,Multi-Family,0.0
Acworth,Jul 2024,2024-07-01,Single-Family,31.0
Acworth,Aug 2024,2024-08-01,Multi-Family,0.0
Acworth,Aug 2024,2024-08-01,Single-Family,5.0
Acworth,Sep 2024,2024-09-01,Multi-Family,0.0
Acworth,Sep 2024,2024-09-01,Single-Family,1.0
Alpharetta,Apr 2023,2023-04-01,Multi-Family,0.0
Alpharetta,Apr 2023,2023-04-01,Single-Family,19.0
Alpharetta,May 2023,2023-05-01,Multi-Family,0.0
Alpharetta,May 2023,2023-05-01,Single-Family,13.0
Alpharetta,Jun 2023,2023-06-01,Multi-Family,0.0
Alpharetta,Jun 2023,2023-06-01,Single-Family,20.0
Alpharetta,Jul 2023,2023-07-01,Multi-Family,0.0
Alpharetta,Jul 2023,2023-07-01,Single-Family,13.0
Alpharetta,Aug 2023,2023-08-01,Multi-Family,0.0
