county_name,date,month_year,year,Series,Permits
Cherokee,2023-02-01,Feb 2023,2023,Single-Family,140.0
Cherokee,2023-02-01,Feb 2023,2023,Multi-Family,6.0
Cherokee,2023-03-01,Mar 2023,2023,Single-Family,189.0
Cherokee,2023-03-01,Mar 2023,2023,Multi-Family,8.0
Cherokee,2023-04-01,Apr 2023,2023,Single-Family,245.0
Cherokee,2023-04-01,Apr 2023,2023,Multi-Family,2.0
Cherokee,2023-05-01,May 2023,2023,Single-Family,266.0
Cherokee,2023-05-01,May 2023,2023,Multi-Family,6.0
Cherokee,2023-06-01,Jun 2023,2023,Single-Family,273.0
Cherokee,2023-06-01,Jun 2023,2023,Multi-Family,2.0
Cherokee,2023-07-01,Jul 2023,2023,Single-Family,204.0
Cherokee,2023-07-01,Jul 2023,2023,Multi-Family,0.0
Cherokee,2023-08-01,Aug 2023,2023,Single-Family,196.0
Cherokee,2023-08-01,Aug 2023,2023,Multi-Family,2.0
Cherokee,2023-09-01,Sep 2023,2023,Single-Family,179.0
Cherokee,2023-09-01,Sep 2023,2023,Multi-Family,0.0
Cherokee,2023-10-01,Oct 2023,2023,Single-Family,150.0
Cherokee,2023-10-01,Oct 2023,2023,Multi-Family,2.0
Cherokee,2023-11-01,Nov 2023,2023,Single-Family,124.0
Cherokee,2023-11-01,Nov 2023,2023,Multi-Family,2.0
Cherokee,2023-12-01,Dec 2023,2023,Single-Family,131.0
Cherokee,2023-12-01,Dec 2023,2023,Multi-Family,0.0
Cherokee,2024-01-01,Jan 2024,2024,Single-Family,191.0
Cherokee,2024-01-01,Jan 2024,2024,Multi-Family,11.0
Cherokee,2024-02-01,Feb 2024,2024,Single-Family,159.0
Cherokee,2024-02-01,Feb 2024,2024,Multi-Family,0.0
Cherokee,2024-03-01,Mar 2024,2024,Single-Family,188.0
Cherokee,2024-03-01,Mar 2024,2024,Multi-Family,0.0
Cherokee,2024-04-01,Apr 2024,2024,Single-Family,144.0
Cherokee,2024-04-01,Apr 2024,2024,Multi-Family,348.0
Cherokee,2024-05-01,May 2024,2024,Single-Family,202.0
Cherokee,2024-05-01,May 2024,2024,Multi-Family,200.0
Cherokee,2024-06-01,Jun 2024,2024,Single-Family,203.0
Cherokee,2024-06-01,Jun 2024,2024,Multi-Family,2.0
Cherokee,2024-07-01,Jul 2024,2024,Single-Family,149.0
Cherokee,2024-07-01,Jul 2024,2024,Multi-Family,0.0
Clayton,2023-02-01,Feb 2023,2023,Single-Family,39.0
Clayton,2023-02-01,Feb 2023,2023,Multi-Family,0.0
Clayton,2023-03-01,Mar 2023,2023,Single-Family,36.0
Clayton,2023-03-01,Mar 2023,2023,Multi-Family,0.0
Clayton,2023-04-01,Apr 2023,2023,Single-Family,25.0
Clayton,2023-04-01,Apr 2023,2023,Multi-Family,0.0
Clayton,2023-05-01,May 2023,2023,Single-Family,27.0
Clayton,2023-05-01,May 2023,2023,Multi-Family,0.0
Clayton,2023-06-01,Jun 2023,2023,Single-Family,14.0
Clayton,2023-06-01,Jun 2023,2023,Multi-Family,0.0
Clayton,2023-07-01,Jul 2023,2023,Single-Family,5.0
Clayton,2023-07-01,Jul 2023,2023,Multi-Family,0.0
Clayton,2023-08-01,Aug 2023,2023,Single-Family,27.0
Clayton,2023-08-01,Aug 2023,2023,Multi-Family,25.0
Clayton,2023-09-01,Sep 2023,2023,Single-Family,8.0
Clayton,2023-09-01,Sep 2023,2023,Multi-Family,0.0
Clayton,2023-10-01,Oct 2023,2023,Single-Family,39.0
Clayton,2023-10-01,Oct 2023,2023,Multi-Family,0.0
Clayton,2023-11-01,Nov 2023,2023,Single-Family,27.0
Clayton,2023-11-01,Nov 2023,2023,Multi-Family,0.0
Clayton,2023-12-01,Dec 2023,2023,Single-Family,27.0
Clayton,2023-12-01,Dec 2023,2023,Multi-Family,0.0
Clayton,2024-01-01,Jan 2024,2024,Single-Family,31.0
Clayton,2024-01-01,Jan 2024,2024,Multi-Family,27.0
Clayton,2024-02-01,Feb 2024,2024,Single-Family,19.0
Clayton,2024-02-01,Feb 2024,2024,Multi-Family,44.0
Clayton,2024-03-01,Mar 2024,2024,Single-Family,50.0
Clayton,2024-03-01,Mar 2024,2024,Multi-Family,50.0
Clayton,2024-04-01,Apr 2024,2024,Single-Family,52.0
Clayton,2024-04-01,Apr 2024,2024,Multi-Family,156.0
Clayton,2024-05-01,May 2024,2024,Single-Family,7.0
Clayton,2024-05-01,May 2024,2024,Multi-Family,171.0
Clayton,2024-06-01,Jun 2024,2024,Single-Family,38.0
Clayton,2024-06-01,Jun 2024,2024,Multi-Family,0.0
Clayton,2024-07-01,Jul 2024,2024,Single-Family,3.0
Clayton,2024-07-01,Jul 2024,2024,Multi-Family,0.0
Cobb,2023-02-01,Feb 2023,2023,Single-Family,56.0
Cobb,2023-02-01,Feb 2023,2023,Multi-Family,608.0
Cobb,2023-03-01,Mar 2023,2023,Single-Family,87.0
Cobb,2023-03-01,Mar 2023,2023,Multi-Family,16.0
Cobb,2023-04-01,Apr 2023,2023,Single-Family,68.0
Cobb,2023-04-01,Apr 2023,2023,Multi-Family,41.0
Cobb,2023-05-01,May 2023,2023,Single-Family,133.0
Cobb,2023-05-01,May 2023,2023,Multi-Family,348.0
Cobb,2023-06-01,Jun 2023,2023,Single-Family,149.0
Cobb,2023-06-01,Jun 2023,2023,Multi-Family,36.0
Cobb,2023-07-01,Jul 2023,2023,Single-Family,116.0
Cobb,2023-07-01,Jul 2023,2023,Multi-Family,199.0
Cobb,2023-08-01,Aug 2023,2023,Single-Family,126.0
Cobb,2023-08-01,Aug 2023,2023,Multi-Family,57.0
Cobb,2023-09-01,Sep 2023,2023,Single-Family,98.0
Cobb,2023-09-01,Sep 2023,2023,Multi-Family,29.0
Cobb,2023-10-01,Oct 2023,2023,Single-Family,64.0
Cobb,2023-10-01,Oct 2023,2023,Multi-Family,42.0
Cobb,2023-11-01,Nov 2023,2023,Single-Family,108.0
Cobb,2023-11-01,Nov 2023,2023,Multi-Family,25.0
Cobb,2023-12-01,Dec 2023,2023,Single-Family,91.0
Cobb,2023-12-01,Dec 2023,2023,Multi-Family,59.0
Cobb,2024-01-01,Jan 2024,2024,Single-Family,112.0
Cobb,2024-01-01,Jan 2024,2024,Multi-Family,36.0
Cobb,2024-02-01,Feb 2024,2024,Single-Family,66.0
Cobb,2024-02-01,Feb 2024,2024,Multi-Family,26.0
Cobb,2024-03-01,Mar 2024,2024,Single-Family,127.0
Cobb,2024-03-01,Mar 2024,2024,Multi-Family,48.0
Cobb,2024-04-01,Apr 2024,2024,Single-Family,106.0
Cobb,2024-04-01,Apr 2024,2024,Multi-Family,16.0
Cobb,2024-05-01,May 2024,2024,Single-Family,99.0
Cobb,2024-05-01,May 2024,2024,Multi-Family,5.0
Cobb,2024-06-01,Jun 2024,2024,Single-Family,68.0
Cobb,2024-06-01,Jun 2024,2024,Multi-Family,8.0
Cobb,2024-07-01,Jul 2024,2024,Single-Family,99.0
Cobb,2024-07-01,Jul 2024,2024,Multi-Family,31.0
DeKalb,2023-02-01,Feb 2023,2023,Single-Family,59.0
DeKalb,2023-02-01,Feb 2023,2023,Multi-Family,0.0
DeKalb,2023-03-01,Mar 2023,2023,Single-Family,48.0
DeKalb,2023-03-01,Mar 2023,2023,Multi-Family,0.0
DeKalb,2023-04-01,Apr 2023,2023,Single-Family,57.0
DeKalb,2023-04-01,Apr 2023,2023,Multi-Family,0.0
DeKalb,2023-05-01,May 2023,2023,Single-Family,61.0
DeKalb,2023-05-01,May 2023,2023,Multi-Family,630.0
DeKalb,2023-06-01,Jun 2023,2023,Single-Family,68.0
DeKalb,2023-06-01,Jun 2023,2023,Multi-Family,138.0
DeKalb,2023-07-01,Jul 2023,2023,Single-Family,86.0
DeKalb,2023-07-01,Jul 2023,2023,Multi-Family,184.0
DeKalb,2023-08-01,Aug 2023,2023,Single-Family,78.0
DeKalb,2023-08-01,Aug 2023,2023,Multi-Family,0.0
DeKalb,2023-09-01,Sep 2023,2023,Single-Family,34.0
DeKalb,2023-09-01,Sep 2023,2023,Multi-Family,0.0
DeKalb,2023-10-01,Oct 2023,2023,Single-Family,58.0
DeKalb,2023-10-01,Oct 2023,2023,Multi-Family,611.0
DeKalb,2023-11-01,Nov 2023,2023,Single-Family,64.0
DeKalb,2023-11-01,Nov 2023,2023,Multi-Family,2.0
DeKalb,2023-12-01,Dec 2023,2023,Single-Family,62.0
DeKalb,2023-12-01,Dec 2023,2023,Multi-Family,0.0
DeKalb,2024-01-01,Jan 2024,2024,Single-Family,108.0
DeKalb,2024-01-01,Jan 2024,2024,Multi-Family,10.0
DeKalb,2024-02-01,Feb 2024,2024,Single-Family,75.0
DeKalb,2024-02-01,Feb 2024,2024,Multi-Family,375.0
DeKalb,2024-03-01,Mar 2024,2024,Single-Family,55.0
DeKalb,2024-03-01,Mar 2024,2024,Multi-Family,0.0
DeKalb,2024-04-01,Apr 2024,2024,Single-Family,57.0
DeKalb,2024-04-01,Apr 2024,2024,Multi-Family,0.0
DeKalb,2024-05-01,May 2024,2024,Single-Family,106.0
DeKalb,2024-05-01,May 2024,2024,Multi-Family,0.0
DeKalb,2024-06-01,Jun 2024,2024,Single-Family,64.0
DeKalb,2024-06-01,Jun 2024,2024,Multi-Family,0.0
DeKalb,2024-07-01,Jul 2024,2024,Single-Family,110.0
DeKalb,2024-07-01,Jul 2024,2024,Multi-Family,14.0
Douglas,2023-02-01,Feb 2023,2023,Single-Family,24.0
Douglas,2023-02-01,Feb 2023,2023,Multi-Family,394.0
Douglas,2023-03-01,Mar 2023,2023,Single-Family,39.0
Douglas,2023-03-01,Mar 2023,2023,Multi-Family,0.0
Douglas,2023-04-01,Apr 2023,2023,Single-Family,53.0
Douglas,2023-04-01,Apr 2023,2023,Multi-Family,90.0
Douglas,2023-05-01,May 2023,2023,Single-Family,72.0
Douglas,2023-05-01,May 2023,2023,Multi-Family,0.0
Douglas,2023-06-01,Jun 2023,2023,Single-Family,55.0
Douglas,2023-06-01,Jun 2023,2023,Multi-Family,0.0
Douglas,2023-07-01,Jul 2023,2023,Single-Family,82.0
Douglas,2023-07-01,Jul 2023,2023,Multi-Family,0.0
Douglas,2023-08-01,Aug 2023,2023,Single-Family,28.0
Douglas,2023-08-01,Aug 2023,2023,Multi-Family,0.0
Douglas,2023-09-01,Sep 2023,2023,Single-Family,28.0
Douglas,2023-09-01,Sep 2023,2023,Multi-Family,0.0
Douglas,2023-10-01,Oct 2023,2023,Single-Family,53.0
Douglas,2023-10-01,Oct 2023,2023,Multi-Family,0.0
Douglas,2023-11-01,Nov 2023,2023,Single-Family,56.0
Douglas,2023-11-01,Nov 2023,2023,Multi-Family,0.0
Douglas,2023-12-01,Dec 2023,2023,Single-Family,25.0
Douglas,2023-12-01,Dec 2023,2023,Multi-Family,0.0
Douglas,2024-01-01,Jan 2024,2024,Single-Family,49.0
Douglas,2024-01-01,Jan 2024,2024,Multi-Family,0.0
Douglas,2024-02-01,Feb 2024,2024,Single-Family,71.0
Douglas,2024-02-01,Feb 2024,2024,Multi-Family,0.0
Douglas,2024-03-01,Mar 2024,2024,Single-Family,69.0
Douglas,2024-03-01,Mar 2024,2024,Multi-Family,0.0
Douglas,2024-04-01,Apr 2024,2024,Single-Family,70.0
Douglas,2024-04-01,Apr 2024,2024,Multi-Family,0.0
Douglas,2024-05-01,May 2024,2024,Single-Family,40.0
Douglas,2024-05-01,May 2024,2024,Multi-Family,29.0
Douglas,2024-06-01,Jun 2024,2024,Single-Family,44.0
Douglas,2024-06-01,Jun 2024,2024,Multi-Family,0.0
Douglas,2024-07-01,Jul 2024,2024,Single-Family,35.0
Douglas,2024-07-01,Jul 2024,2024,Multi-Family,0.0
Fayette,2023-02-01,Feb 2023,2023,Single-Family,19.0
Fayette,2023-02-01,Feb 2023,2023,Multi-Family,0.0
Fayette,2023-03-01,Mar 2023,2023,Single-Family,31.0
Fayette,2023-03-01,Mar 2023,2023,Multi-Family,0.0
Fayette,2023-04-01,Apr 2023,2023,Single-Family,31.0
Fayette,2023-04-01,Apr 2023,2023,Multi-Family,0.0
Fayette,2023-05-01,May 2023,2023,Single-Family,45.0
Fayette,2023-05-01,May 2023,2023,Multi-Family,0.0
Fayette,2023-06-01,Jun 2023,2023,Single-Family,31.0
Fayette,2023-06-01,Jun 2023,2023,Multi-Family,0.0
Fayette,2023-07-01,Jul 2023,2023,Single-Family,34.0
Fayette,2023-07-01,Jul 2023,2023,Multi-Family,0.0
Fayette,2023-08-01,Aug 2023,2023,Single-Family,45.0
Fayette,2023-08-01,Aug 2023,2023,Multi-Family,0.0
Fayette,2023-09-01,Sep 2023,2023,Single-Family,37.0
Fayette,2023-09-01,Sep 2023,2023,Multi-Family,0.0
Fayette,2023-10-01,Oct 2023,2023,Single-Family,28.0
Fayette,2023-10-01,Oct 2023,2023,Multi-Family,0.0
Fayette,2023-11-01,Nov 2023,2023,Single-Family,26.0
Fayette,2023-11-01,Nov 2023,2023,Multi-Family,0.0
Fayette,2023-12-01,Dec 2023,2023,Single-Family,9.0
Fayette,2023-12-01,Dec 2023,2023,Multi-Family,0.0
Fayette,2024-01-01,Jan 2024,2024,Single-Family,28.0
Fayette,2024-01-01,Jan 2024,2024,Multi-Family,0.0
Fayette,2024-02-01,Feb 2024,2024,Single-Family,32.0
Fayette,2024-02-01,Feb 2024,2024,Multi-Family,0.0
Fayette,2024-03-01,Mar 2024,2024,Single-Family,38.0
Fayette,2024-03-01,Mar 2024,2024,Multi-Family,0.0
Fayette,2024-04-01,Apr 2024,2024,Single-Family,26.0
Fayette,2024-04-01,Apr 2024,2024,Multi-Family,0.0
Fayette,2024-05-01,May 2024,2024,Single-Family,23.0
Fayette,2024-05-01,May 2024,2024,Multi-Family,0.0
Fayette,2024-06-01,Jun 2024,2024,Single-Family,24.0
Fayette,2024-06-01,Jun 2024,2024,Multi-Family,0.0
Fayette,2024-07-01,Jul 2024,2024,Single-Family,18.0
Fayette,2024-07-01,Jul 2024,2024,Multi-Family,0.0
Forsyth,2023-02-01,Feb 2023,2023,Single-Family,80.0
Forsyth,2023-02-01,Feb 2023,2023,Multi-Family,0.0
