year_month,date,Level,Name,Series,Permits
202407,Jul 2024,City/Other,Acworth,Single-Family,31
202408,Aug 2024,City/Other,Acworth,Single-Family,5
202409,Sep 2024,City/Other,Acworth,Single-Family,1
202410,Oct 2024,City/Other,Acworth,Single-Family,10
202411,Nov 2024,City/Other,Acworth,Single-Family,0
202412,Dec 2024,City/Other,Acworth,Single-Family,13
202501,Jan 2025,City/Other,Acworth,Single-Family,0
202502,Feb 2025,City/Other,Acworth,Single-Family,21
202503,Mar 2025,City/Other,Acworth,Single-Family,1
202504,Apr 2025,City/Other,Acworth,Single-Family,17
202505,May 2025,City/Other,Acworth,Single-Family,4
202506,Jun 2025,City/Other,Acworth,Single-Family,0
202507,Jul 2025,City/Other,Acworth,Single-Family,0
202508,Aug 2025,City/Other,Acworth,Single-Family,4
202509,Sep 2025,City/Other,Acworth,Single-Family,0
202510,Oct 2025,City/Other,Acworth,Single-Family,4
202511,Nov 2025,City/Other,Acworth,Single-Family,13
202512,Dec 2025,City/Other,Acworth,Single-Family,0
202407,Jul 2024,City/Other,Alpharetta,Single-Family,32
202408,Aug 2024,City/Other,Alpharetta,Single-Family,39
202409,Sep 2024,City/Other,Alpharetta,Single-Family,15
202410,Oct 2024,City/Other,Alpharetta,Single-Family,23
202411,Nov 2024,City/Other,Alpharetta,Single-Family,13
202412,Dec 2024,City/Other,Alpharetta,Single-Family,4
202501,Jan 2025,City/Other,Alpharetta,Single-Family,35
202502,Feb 2025,City/Other,Alpharetta,Single-Family,23
202503,Mar 2025,City/Other,Alpharetta,Single-Family,32
202504,Apr 2025,City/Other,Alpharetta,Single-Family,20
202505,May 2025,City/Other,Alpharetta,Single-Family,27
202506,Jun 2025,City/Other,Alpharetta,Single-Family,49
202507,Jul 2025,City/Other,Alpharetta,Single-Family,25
202508,Aug 2025,City/Other,Alpharetta,Single-Family,14
202509,Sep 2025,City/Other,Alpharetta,Single-Family,32
202510,Oct 2025,City/Other,Alpharetta,Single-Family,35
202511,Nov 2025,City/Other,Alpharetta,Single-Family,11
202512,Dec 2025,City/Other,Alpharetta,Single-Family,13
202407,Jul 2024,City/Other,Atlanta,Single-Family,64
202408,Aug 2024,City/Other,Atlanta,Single-Family,80
202409,Sep 2024,City/Other,Atlanta,Single-Family,37
202410,Oct 2024,City/Other,Atlanta,Single-Family,98
202411,Nov 2024,City/Other,Atlanta,Single-Family,35
202412,Dec 2024,City/Other,Atlanta,Single-Family,96
202501,Jan 2025,City/Other,Atlanta,Single-Family,58
202502,Feb 2025,City/Other,Atlanta,Single-Family,33
202503,Mar 2025,City/Other,Atlanta,Single-Family,39
202504,Apr 2025,City/Other,Atlanta,Single-Family,77
202505,May 2025,City/Other,Atlanta,Single-Family,46
202506,Jun 2025,City/Other,Atlanta,Single-Family,95
202507,Jul 2025,City/Other,Atlanta,Single-Family,49
202508,Aug 2025,City/Other,Atlanta,Single-Family,31
202509,Sep 2025,City/Other,Atlanta,Single-Family,33
202510,Oct 2025,City/Other,Atlanta,Single-Family,35
202511,Nov 2025,City/Other,Atlanta,Single-Family,31
202512,Dec 2025,City/Other,Atlanta,Single-Family,34
202407,Jul 2024,City/Other,Austell,Single-Family,0
202408,Aug 2024,City/Other,Austell,Single-Family,0
202409,Sep 2024,City/Other,Austell,Single-Family,15
202410,Oct 2024,City/Other,Austell,Single-Family,6
202411,Nov 2024,City/Other,Austell,Single-Family,2
202412,Dec 2024,City/Other,Austell,Single-Family,0
202501,Jan 2025,City/Other,Austell,Single-Family,19
202502,Feb 2025,City/Other,Austell,Single-Family,18
202503,Mar 2025,City/Other,Austell,Single-Family,16
202504,Apr 2025,City/Other,Austell,Single-Family,2
202505,May 2025,City/Other,Austell,Single-Family,2
202506,Jun 2025,City/Other,Austell,Single-Family,3
202507,Jul 2025,City/Other,Austell,Single-Family,10
202508,Aug 2025,City/Other,Austell,Single-Family,9
202509,Sep 2025,City/Other,Austell,Single-Family,8
202510,Oct 2025,City/Other,Austell,Single-Family,14
202511,Nov 2025,City/Other,Austell,Single-Family,2
