year_month,date,Level,Name,SF_permits,SF_value,MF_permits,MF_value,2U_permits,2U_value,3-4U_permits,3-4U_value,5+U_permits,5+U_value
202411,Nov 2024,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202412,Dec 2024,City/Other,Acworth,13,3489380,0,0,0,0,0,0,0,0
202501,Jan 2025,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202502,Feb 2025,City/Other,Acworth,21,5392130,0,0,0,0,0,0,0,0
202503,Mar 2025,City/Other,Acworth,1,282040,0,0,0,0,0,0,0,0
202504,Apr 2025,City/Other,Acworth,17,4176040,0,0,0,0,0,0,0,0
202505,May 2025,City/Other,Acworth,4,1769600,0,0,0,0,0,0,0,0
202506,Jun 2025,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202507,Jul 2025,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202508,Aug 2025,City/Other,Acworth,4,911100,0,0,0,0,0,0,0,0
202509,Sep 2025,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202510,Oct 2025,City/Other,Acworth,4,978450,0,0,0,0,0,0,0,0
202511,Nov 2025,City/Other,Acworth,13,3190760,0,0,0,0,0,0,0,0
202512,Dec 2025,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202601,Jan 2026,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202602,Feb 2026,City/Other,Acworth,1,315000,0,0,0,0,0,0,0,0
202603,Mar 2026,City/Other,Acworth,0,0,0,0,0,0,0,0,0,0
202604,Apr 2026,City/Other,Acworth,1,730000,0,0,0,0,0,0,0,0
202411,Nov 2024,City/Other,Adairsville,11,1911000,0,0,0,0,0,0,0,0
202412,Dec 2024,City/Other,Adairsville,1,145233,0,0,0,0,0,0,0,0
202501,Jan 2025,City/Other,Adairsville,11,1980000,0,0,0,0,0,0,0,0
202502,Feb 2025,City/Other,Adairsville,5,1077700,0,0,0,0,0,0,0,0
202503,Mar 2025,City/Other,Adairsville,2,290466,0,0,0,0,0,0,0,0
202504,Apr 2025,City/Other,Adairsville,4,835600,0,0,0,0,0,0,0,0
202505,May 2025,City/Other,Adairsville,5,610400,0,0,0,0,0,0,0,0
202506,Jun 2025,City/Other,Adairsville,5,174000,0,0,0,0,0,0,0,0
202507,Jul 2025,City/Other,Adairsville,4,885000,0,0,0,0,0,0,0,0
202508,Aug 2025,City/Other,Adairsville,4,733500,0,0,0,0,0,0,0,0
202509,Sep 2025,City/Other,Adairsville,1,205300,0,0,0,0,0,0,0,0
202510,Oct 2025,City/Other,Adairsville,0,0,0,0,0,0,0,0,0,0
202511,Nov 2025,City/Other,Adairsville,6,1387812,0,0,0,0,0,0,0,0
202512,Dec 2025,City/Other,Adairsville,0,0,0,0,0,0,0,0,0,0
202601,Jan 2026,City/Other,Adairsville,0,0,0,0,0,0,0,0,0,0
202602,Feb 2026,City/Other,Adairsville,19,1050175,0,0,0,0,0,0,0,0
202603,Mar 2026,City/Other,Adairsville,7,1087487,0,0,0,0,0,0,0,0
202604,Apr 2026,City/Other,Adairsville,5,1557122,0,0,0,0,0,0,0,0
202411,Nov 2024,City/Other,Adel,1,276956,0,0,0,0,0,0,0,0
202412,Dec 2024,City/Other,Adel,2,553912,0,0,0,0,0,0,0,0
202501,Jan 2025,City/Other,Adel,2,553912,0,0,0,0,0,0,0,0
202502,Feb 2025,City/Other,Adel,1,276956,0,0,0,0,0,0,0,0
202503,Mar 2025,City/Other,Adel,2,553912,0,0,0,0,0,0,0,0
202504,Apr 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202505,May 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202506,Jun 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202507,Jul 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202508,Aug 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202509,Sep 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202510,Oct 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202511,Nov 2025,City/Other,Adel,1,200695,0,0,0,0,0,0,0,0
202512,Dec 2025,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202601,Jan 2026,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202602,Feb 2026,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202603,Mar 2026,City/Other,Adel,2,401389,0,0,0,0,0,0,0,0
202604,Apr 2026,City/Other,Adel,2,436053,0,0,0,0,0,0,0,0
202411,Nov 2024,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202412,Dec 2024,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202501,Jan 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202502,Feb 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202503,Mar 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202504,Apr 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202505,May 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202506,Jun 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
202507,Jul 2025,City/Other,Ailey,0,0,0,0,0,0,0,0,0,0
