Year,Level,Name,FIPS,SF_permits,SF_value,MF_permits,MF_value,2U_permits,2U_value,3-4U_permits,3-4U_value,5+U_permits,5+U_value
2024,City/Other,Acworth,13067003000,101,27424874,12,2820620,0,0,12,2820620,0,0
2025,City/Other,Acworth,13067003000,64,16700120,0,0,0,0,0,0,0,0
2024,City/Other,Adairsville,13015004000,79,12273072,0,0,0,0,0,0,0,0
2025,City/Other,Adairsville,13015004000,60,9764312,0,0,0,0,0,0,0,0
2024,City/Other,Adel,13075005000,25,5017368,0,0,0,0,0,0,0,0
2025,City/Other,Adel,13075005000,22,4796587,0,0,0,0,0,0,0,0
2024,City/Other,Ailey,13209008000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Ailey,13209008000,1,200000,0,0,0,0,0,0,0,0
2024,City/Other,Alamo,13309009000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Alamo,13309009000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Albany,13095011000,25,8138170,20,2216072,0,0,0,0,20,2216072
2025,City/Other,Albany,13095011000,32,9478560,0,0,0,0,0,0,0,0
2024,City/Other,Alma,13005018000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Alma,13005018000,14,4146870,0,0,0,0,0,0,0,0
2024,City/Other,Alpharetta,13121019000,226,116518605,0,0,0,0,0,0,0,0
2025,City/Other,Alpharetta,13121019000,340,197096154,0,0,0,0,0,0,0,0
2024,City/Other,Alto,13137022000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Alto,13137022000,7,2072117,0,0,0,0,0,0,0,0
2024,City/Other,Americus,13261024000,0,0,15,1406250,0,0,0,0,15,1406250
2025,City/Other,Americus,13261024000,0,0,12,1125000,0,0,0,0,12,1125000
2024,County,Appling,13001,17,9828952,0,0,0,0,0,0,0,0
2025,County,Appling,13001,17,1870000,4,380000,4,380000,0,0,0,0
2024,City/Other,Arabi,13081027000,1,40000,0,0,0,0,0,0,0,0
2025,City/Other,Arabi,13081027000,1,40000,0,0,0,0,0,0,0,0
2024,City/Other,Aragon,13233028000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Aragon,13233028000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Arcade,13157029000,5,1431700,0,0,0,0,0,0,0,0
2025,City/Other,Arcade,13157029000,17,5015426,0,0,0,0,0,0,0,0
2024,City/Other,Arlington,13037031000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Arlington,13037031000,0,0,0,0,0,0,0,0,0,0
2024,City/Other,Athens-Clarke County,13059035000,212,48390257,960,118149964,0,0,84,7769598,876,110380366
2025,City/Other,Athens-Clarke County,13059035000,226,48314638,522,73261472,0,0,0,0,522,73261472
2024,County,Atkinson,13003,18,2153539,0,0,0,0,0,0,0,0
2025,County,Atkinson,13003,18,2144784,0,0,0,0,0,0,0,0
2024,City/Other,Atkinson County,13003036000,18,2153539,0,0,0,0,0,0,0,0
2025,City/Other,Atkinson County,13003036000,18,2144784,0,0,0,0,0,0,0,0
2024,City/Other,Atlanta,13121038000,791,225945105,7318,1142000194,102,20263039,369,63242263,6847,1058494892
2025,City/Other,Atlanta,13121038000,561,164969672,5061,782526840,156,29192203,236,37907088,4669,715427549
2024,City/Other,Auburn,13013040000,34,9742634,0,0,0,0,0,0,0,0
2025,City/Other,Auburn,13013040000,215,63643589,0,0,0,0,0,0,0,0
2024,City/Other,Augusta-Richmond County Unincorporated Area,13245570000,548,105652748,0,0,0,0,0,0,0,0
2025,City/Other,Augusta-Richmond County Unincorporated Area,13245570000,529,93519182,0,0,0,0,0,0,0,0
2024,City/Other,Austell,13067043000,23,2432048,0,0,0,0,0,0,0,0
2025,City/Other,Austell,13067043000,109,17783191,58,9036980,0,0,0,0,58,9036980
2024,City/Other,Avondale Estates,13089047000,0,0,0,0,0,0,0,0,0,0
2025,City/Other,Avondale Estates,13089047000,0,0,66,11369330,0,0,0,0,66,11369330
2024,County,Bacon,13005,0,0,0,0,0,0,0,0,0,0
2025,County,Bacon,13005,14,4146870,0,0,0,0,0,0,0,0
2024,City/Other,Bainbridge,13087050000,55,10716919,56,4951345,6,299559,0,0,50,4651786
2025,City/Other,Bainbridge,13087050000,50,9729474,60,5499111,0,0,0,0,60,5499111
2024,County,Baker,13007,0,0,0,0,0,0,0,0,0,0
2025,County,Baker,13007,0,0,0,0,0,0,0,0,0,0
2024,County,Baldwin,13009,100,33964605,102,11275551,22,3493000,68,5589600,12,2192951
2024,City/Other,Baldwin,13137053000,6,2019300,0,0,0,0,0,0,0,0
2025,County,Baldwin,13009,79,29465785,16,2926614,0,0,3,474899,13,2451715
2025,City/Other,Baldwin,13137053000,13,2418800,0,0,0,0,0,0,0,0
